painter,shapes_per_category,total_examples,general_dominant_frequency,general_dominant_count_category_wide,general_dominant_share_category_wide,category_wide_gabor_count_pattern,test_shape,shape_dominant_frequency,test_shape_total_examples,test_shape_dominant_count,test_shape_dominant_share,critical_shape_gabor_count_pattern,critical_shape_example_proportion,filler_shape_example_proportions
Emily,4,8,gabor1,4,0.5,"4,3,1",shape5,gabor3,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Isabella,4,8,gabor2,4,0.5,"4,3,1",shape1,gabor1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Grace,4,8,gabor3,4,0.5,"4,2,1,1",shape2,gabor4,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Olivia,4,8,gabor4,5,0.625,"5,3",shape6,gabor2,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Sophia,4,8,gabor1,5,0.625,"5,2,1",shape7,gabor3,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Ava,4,8,gabor2,4,0.5,"4,2,2",shape4,gabor1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Mia,4,8,gabor3,3,0.375,"3,2,2,1",shape3,gabor2,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Charlotte,4,8,gabor4,4,0.5,"4,3,1",shape8,gabor2,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Amelia,4,8,gabor1,4,0.5,"4,3,1",shape8,gabor4,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Harper,4,8,gabor2,4,0.5,"4,2,1,1",shape4,gabor1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Lily,4,8,gabor3,5,0.625,"5,3",shape1,gabor4,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Ella,4,8,gabor4,5,0.625,"5,2,1",shape5,gabor3,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Chloe,4,8,gabor1,4,0.5,"4,2,2",shape6,gabor4,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Victoria,4,8,gabor2,3,0.375,"3,2,2,1",shape3,gabor1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Aria,4,8,gabor3,4,0.5,"4,3,1",shape7,gabor2,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Scarlett,4,8,gabor4,4,0.5,"4,3,1",shape2,gabor3,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Layla,4,8,gabor1,4,0.5,"4,2,1,1",shape6,gabor2,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Nora,4,8,gabor2,5,0.625,"5,3",shape3,gabor1,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Riley,4,8,gabor3,5,0.625,"5,2,1",shape2,gabor4,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Zoey,4,8,gabor4,4,0.5,"4,2,2",shape8,gabor3,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Hannah,4,8,gabor1,3,0.375,"3,2,2,1",shape5,gabor2,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Luna,4,8,gabor2,4,0.5,"4,3,1",shape4,gabor4,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Stella,4,8,gabor3,4,0.5,"4,3,1",shape7,gabor1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Aurora,4,8,gabor4,4,0.5,"4,2,1,1",shape1,gabor3,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Leah,4,8,gabor1,5,0.625,"5,3",shape6,gabor3,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
