painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,actual_frequency_cycles,single_category_example_number,single_category_x_position,single_category_y_position
Emily,shape5,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,4,10,1,560,64
Emily,shape4,filler,no,gabor1,gabor1,gabor2,no,no,images/all_shapes/shape4_gabor2.png,1,5,2,250,64
Emily,shape5,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,1,10,3,95,66
Emily,shape5,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,3,10,4,710,70
Emily,shape3,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape3_gabor1.png,1,2,5,150,190
Emily,shape5,test,yes,gabor1,gabor3,gabor1,yes,no,images/all_shapes/shape5_gabor1.png,2,2,6,405,68
Emily,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,2,2,7,510,188
Emily,shape2,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape2_gabor1.png,1,2,8,330,194
Isabella,shape1,test,yes,gabor2,gabor1,gabor2,yes,no,images/all_shapes/shape1_gabor2.png,2,5,1,710,70
Isabella,shape1,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape1_gabor1.png,1,2,2,510,188
Isabella,shape8,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape8_gabor2.png,2,5,3,95,66
Isabella,shape7,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape7_gabor2.png,1,5,4,405,68
Isabella,shape1,test,yes,gabor2,gabor1,gabor4,no,no,images/all_shapes/shape1_gabor4.png,4,20,5,150,190
Isabella,shape3,filler,no,gabor2,gabor2,gabor1,no,no,images/all_shapes/shape3_gabor1.png,1,2,6,250,64
Isabella,shape1,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape1_gabor1.png,3,2,7,560,64
Isabella,shape8,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape8_gabor2.png,1,5,8,330,194
Grace,shape2,test,yes,gabor3,gabor4,gabor3,yes,no,images/all_shapes/shape2_gabor3.png,2,10,1,250,64
Grace,shape8,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape8_gabor3.png,1,10,2,150,190
Grace,shape8,filler,no,gabor3,gabor3,gabor2,no,no,images/all_shapes/shape8_gabor2.png,2,5,3,330,194
Grace,shape5,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape5_gabor3.png,1,10,4,405,68
Grace,shape2,test,yes,gabor3,gabor4,gabor1,no,no,images/all_shapes/shape2_gabor1.png,4,2,5,510,188
Grace,shape2,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape2_gabor4.png,1,20,6,95,66
Grace,shape6,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape6_gabor3.png,1,10,7,710,70
Grace,shape2,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape2_gabor4.png,3,20,8,560,64
Olivia,shape4,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape4_gabor4.png,1,20,1,150,190
Olivia,shape1,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape1_gabor4.png,1,20,2,95,66
Olivia,shape6,test,yes,gabor4,gabor2,gabor2,no,yes,images/all_shapes/shape6_gabor2.png,3,5,3,710,70
Olivia,shape1,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape1_gabor4.png,2,20,4,510,188
Olivia,shape7,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape7_gabor4.png,1,20,5,250,64
Olivia,shape6,test,yes,gabor4,gabor2,gabor4,yes,no,images/all_shapes/shape6_gabor4.png,1,20,6,330,194
Olivia,shape6,test,yes,gabor4,gabor2,gabor2,no,yes,images/all_shapes/shape6_gabor2.png,2,5,7,405,68
Olivia,shape6,test,yes,gabor4,gabor2,gabor2,no,yes,images/all_shapes/shape6_gabor2.png,4,5,8,560,64
Sophia,shape7,test,yes,gabor1,gabor3,gabor4,no,no,images/all_shapes/shape7_gabor4.png,4,20,1,510,188
Sophia,shape7,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape7_gabor3.png,2,10,2,405,68
Sophia,shape3,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape3_gabor1.png,1,2,3,250,64
Sophia,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,2,2,4,150,190
Sophia,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,1,2,5,95,66
Sophia,shape7,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape7_gabor3.png,3,10,6,560,64
Sophia,shape6,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape6_gabor1.png,1,2,7,330,194
Sophia,shape7,test,yes,gabor1,gabor3,gabor1,yes,no,images/all_shapes/shape7_gabor1.png,1,2,8,710,70
Ava,shape4,test,yes,gabor2,gabor1,gabor2,yes,no,images/all_shapes/shape4_gabor2.png,4,5,1,330,194
Ava,shape4,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape4_gabor1.png,1,2,2,510,188
Ava,shape4,test,yes,gabor2,gabor1,gabor4,no,no,images/all_shapes/shape4_gabor4.png,2,20,3,560,64
Ava,shape1,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape1_gabor2.png,1,5,4,250,64
Ava,shape7,filler,no,gabor2,gabor2,gabor4,no,no,images/all_shapes/shape7_gabor4.png,1,20,5,150,190
