painter,shapes_per_category,total_examples,general_dominant_frequency,general_dominant_count_category_wide,general_dominant_share_category_wide,category_wide_gabor_count_pattern,test_shape,shape_dominant_frequency,test_shape_total_examples,test_shape_dominant_count,test_shape_dominant_share,critical_shape_gabor_count_pattern,critical_shape_example_proportion,filler_shape_example_proportions
Emily,4,8,high_color1,4,0.5,"4,3,1",high_shape10,high_color4,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Isabella,4,8,high_color2,4,0.5,"4,3,1",high_shape1,high_color1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Grace,4,8,high_color4,4,0.5,"4,2,1,1",high_shape4,high_color5,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Olivia,4,8,high_color5,5,0.625,"5,3",high_shape13,high_color2,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Sophia,4,8,high_color1,5,0.625,"5,2,1",high_shape17,high_color4,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Ava,4,8,high_color2,4,0.5,"4,2,2",high_shape9,high_color1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Mia,4,8,high_color4,3,0.375,"3,2,2,1",high_shape7,high_color2,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Charlotte,4,8,high_color5,4,0.5,"4,3,1",high_shape21,high_color2,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Amelia,4,8,high_color1,4,0.5,"4,3,1",high_shape21,high_color5,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Harper,4,8,high_color2,4,0.5,"4,2,1,1",high_shape9,high_color1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Lily,4,8,high_color4,5,0.625,"5,3",high_shape1,high_color5,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Ella,4,8,high_color5,5,0.625,"5,2,1",high_shape10,high_color4,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Chloe,4,8,high_color1,4,0.5,"4,2,2",high_shape13,high_color5,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Victoria,4,8,high_color2,3,0.375,"3,2,2,1",high_shape7,high_color1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Aria,4,8,high_color4,4,0.5,"4,3,1",high_shape17,high_color2,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Scarlett,4,8,high_color5,4,0.5,"4,3,1",high_shape4,high_color4,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Layla,4,8,high_color1,4,0.5,"4,2,1,1",high_shape13,high_color2,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Nora,4,8,high_color2,5,0.625,"5,3",high_shape7,high_color1,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Riley,4,8,high_color4,5,0.625,"5,2,1",high_shape4,high_color5,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Zoey,4,8,high_color5,4,0.5,"4,2,2",high_shape21,high_color4,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Hannah,4,8,high_color1,3,0.375,"3,2,2,1",high_shape10,high_color2,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Luna,4,8,high_color2,4,0.5,"4,3,1",high_shape9,high_color5,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Stella,4,8,high_color4,4,0.5,"4,3,1",high_shape17,high_color1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Aurora,4,8,high_color5,4,0.5,"4,2,1,1",high_shape1,high_color4,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Leah,4,8,high_color1,5,0.625,"5,3",high_shape13,high_color4,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
