painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,example_number_in_painter_box,x_position_in_cell,y_position_in_cell
Emily,high_shape9,filler,no,high_color1,high_color1,high_color2,no,no,images/high_nameability/all_shapes/high_shape9_high_color2.png,1,1,750,105
Emily,high_shape7,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,2,145,220
Emily,high_shape10,test,yes,high_color1,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,3,3,420,95
Emily,high_shape10,test,yes,high_color1,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,4,585,90
Emily,high_shape10,test,yes,high_color1,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,4,5,95,90
Emily,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,2,6,255,85
Emily,high_shape4,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color1.png,1,7,325,225
Emily,high_shape10,test,yes,high_color1,high_color4,high_color1,yes,no,images/high_nameability/all_shapes/high_shape10_high_color1.png,2,8,505,215
Isabella,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,1,95,90
Isabella,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,1,2,505,215
Isabella,high_shape7,filler,no,high_color2,high_color2,high_color1,no,no,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,3,585,90
Isabella,high_shape1,test,yes,high_color2,high_color1,high_color2,yes,no,images/high_nameability/all_shapes/high_shape1_high_color2.png,2,4,750,105
Isabella,high_shape17,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color2.png,1,5,255,85
Isabella,high_shape1,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape1_high_color1.png,1,6,325,225
Isabella,high_shape1,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape1_high_color1.png,3,7,420,95
Isabella,high_shape1,test,yes,high_color2,high_color1,high_color5,no,no,images/high_nameability/all_shapes/high_shape1_high_color5.png,4,8,145,220
Grace,high_shape21,filler,no,high_color4,high_color4,high_color2,no,no,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,1,255,85
