painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,single_category_example_number,single_category_x_position,single_category_y_position
Emily,high_shape10,test,yes,high_color1,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,4,1,560,64
Emily,high_shape9,filler,no,high_color1,high_color1,high_color2,no,no,images/high_nameability/all_shapes/high_shape9_high_color2.png,1,2,250,64
Emily,high_shape10,test,yes,high_color1,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,3,95,66
Emily,high_shape10,test,yes,high_color1,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,3,4,710,70
Emily,high_shape7,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,5,150,190
Emily,high_shape10,test,yes,high_color1,high_color4,high_color1,yes,no,images/high_nameability/all_shapes/high_shape10_high_color1.png,2,6,405,68
Emily,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,2,7,510,188
Emily,high_shape4,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color1.png,1,8,330,194
Isabella,high_shape1,test,yes,high_color2,high_color1,high_color2,yes,no,images/high_nameability/all_shapes/high_shape1_high_color2.png,2,1,710,70
Isabella,high_shape1,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape1_high_color1.png,1,2,510,188
Isabella,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,3,95,66
Isabella,high_shape17,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color2.png,1,4,405,68
Isabella,high_shape1,test,yes,high_color2,high_color1,high_color5,no,no,images/high_nameability/all_shapes/high_shape1_high_color5.png,4,5,150,190
Isabella,high_shape7,filler,no,high_color2,high_color2,high_color1,no,no,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,6,250,64
Isabella,high_shape1,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape1_high_color1.png,3,7,560,64
Isabella,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,1,8,330,194
Grace,high_shape4,test,yes,high_color4,high_color5,high_color4,yes,no,images/high_nameability/all_shapes/high_shape4_high_color4.png,2,1,250,64
Grace,high_shape21,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color4.png,1,2,150,190
Grace,high_shape21,filler,no,high_color4,high_color4,high_color2,no,no,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,3,330,194
Grace,high_shape10,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,4,405,68
Grace,high_shape4,test,yes,high_color4,high_color5,high_color1,no,no,images/high_nameability/all_shapes/high_shape4_high_color1.png,4,5,510,188
Grace,high_shape4,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,1,6,95,66
Grace,high_shape13,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color4.png,1,7,710,70
