painter,shapes_per_category,total_examples,general_dominant_frequency,general_dominant_count_category_wide,general_dominant_share_category_wide,category_wide_gabor_count_pattern,test_shape,shape_dominant_frequency,test_shape_total_examples,test_shape_dominant_count,test_shape_dominant_share,critical_shape_gabor_count_pattern,critical_shape_example_proportion,filler_shape_example_proportions
Abigail,4,8,low_color1,4,0.5,"4,3,1",low_shape10,low_color3,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Emma,4,8,low_color2,4,0.5,"4,3,1",low_shape1,low_color1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Madison,4,8,low_color3,4,0.5,"4,2,1,1",low_shape4,low_color6,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Elizabeth,4,8,low_color6,5,0.625,"5,3",low_shape13,low_color2,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Avery,4,8,low_color1,5,0.625,"5,2,1",low_shape17,low_color3,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Sofia,4,8,low_color2,4,0.5,"4,2,2",low_shape9,low_color1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Camila,4,8,low_color3,3,0.375,"3,2,2,1",low_shape7,low_color2,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Penelope,4,8,low_color6,4,0.5,"4,3,1",low_shape21,low_color2,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Violet,4,8,low_color1,4,0.5,"4,3,1",low_shape21,low_color6,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Mila,4,8,low_color2,4,0.5,"4,2,1,1",low_shape9,low_color1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Nova,4,8,low_color3,5,0.625,"5,3",low_shape1,low_color6,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Ivy,4,8,low_color6,5,0.625,"5,2,1",low_shape10,low_color3,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Eleanor,4,8,low_color1,4,0.5,"4,2,2",low_shape13,low_color6,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Hazel,4,8,low_color2,3,0.375,"3,2,2,1",low_shape7,low_color1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Willow,4,8,low_color3,4,0.5,"4,3,1",low_shape17,low_color2,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Ruby,4,8,low_color6,4,0.5,"4,3,1",low_shape4,low_color3,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Naomi,4,8,low_color1,4,0.5,"4,2,1,1",low_shape13,low_color2,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Josephine,4,8,low_color2,5,0.625,"5,3",low_shape7,low_color1,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Audrey,4,8,low_color3,5,0.625,"5,2,1",low_shape4,low_color6,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Brooklyn,4,8,low_color6,4,0.5,"4,2,2",low_shape21,low_color3,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Bella,4,8,low_color1,3,0.375,"3,2,2,1",low_shape10,low_color2,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Claire,4,8,low_color2,4,0.5,"4,3,1",low_shape9,low_color6,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
Skylar,4,8,low_color3,4,0.5,"4,3,1",low_shape17,low_color1,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Lucy,4,8,low_color6,4,0.5,"4,2,1,1",low_shape1,low_color3,4,2,0.5,"2,1,1",0.5,"0.125,0.125,0.25"
Paisley,4,8,low_color1,5,0.625,"5,3",low_shape13,low_color3,4,3,0.75,"3,1",0.5,"0.125,0.125,0.25"
