painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,example_number_in_painter_box,x_position_in_cell,y_position_in_cell
Abigail,low_shape9,filler,no,low_color1,low_color1,low_color2,no,no,images/low_nameability/all_shapes/low_shape9_low_color2.png,1,1,750,105
Abigail,low_shape7,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,2,145,220
Abigail,low_shape10,test,yes,low_color1,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,3,3,420,95
Abigail,low_shape10,test,yes,low_color1,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,4,585,90
Abigail,low_shape10,test,yes,low_color1,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,4,5,95,90
Abigail,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,2,6,255,85
Abigail,low_shape4,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color1.png,1,7,325,225
Abigail,low_shape10,test,yes,low_color1,low_color3,low_color1,yes,no,images/low_nameability/all_shapes/low_shape10_low_color1.png,2,8,505,215
Emma,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,1,95,90
Emma,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,1,2,505,215
Emma,low_shape7,filler,no,low_color2,low_color2,low_color1,no,no,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,3,585,90
Emma,low_shape1,test,yes,low_color2,low_color1,low_color2,yes,no,images/low_nameability/all_shapes/low_shape1_low_color2.png,2,4,750,105
Emma,low_shape17,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color2.png,1,5,255,85
Emma,low_shape1,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape1_low_color1.png,1,6,325,225
Emma,low_shape1,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape1_low_color1.png,3,7,420,95
Emma,low_shape1,test,yes,low_color2,low_color1,low_color6,no,no,images/low_nameability/all_shapes/low_shape1_low_color6.png,4,8,145,220
Madison,low_shape21,filler,no,low_color3,low_color3,low_color2,no,no,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,1,255,85
Madison,low_shape10,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,2,325,225
Madison,low_shape4,test,yes,low_color3,low_color6,low_color1,no,no,images/low_nameability/all_shapes/low_shape4_low_color1.png,4,3,750,105
Madison,low_shape4,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,1,4,420,95
Madison,low_shape4,test,yes,low_color3,low_color6,low_color3,yes,no,images/low_nameability/all_shapes/low_shape4_low_color3.png,2,5,505,215
Madison,low_shape21,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color3.png,1,6,95,90
Madison,low_shape4,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,3,7,585,90
Madison,low_shape13,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color3.png,1,8,145,220
Elizabeth,low_shape17,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,1,325,225
