painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,single_category_example_number,single_category_x_position,single_category_y_position
Abigail,low_shape10,test,yes,low_color1,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,4,1,560,64
Abigail,low_shape9,filler,no,low_color1,low_color1,low_color2,no,no,images/low_nameability/all_shapes/low_shape9_low_color2.png,1,2,250,64
Abigail,low_shape10,test,yes,low_color1,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,3,95,66
Abigail,low_shape10,test,yes,low_color1,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,3,4,710,70
Abigail,low_shape7,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,5,150,190
Abigail,low_shape10,test,yes,low_color1,low_color3,low_color1,yes,no,images/low_nameability/all_shapes/low_shape10_low_color1.png,2,6,405,68
Abigail,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,2,7,510,188
Abigail,low_shape4,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color1.png,1,8,330,194
Emma,low_shape1,test,yes,low_color2,low_color1,low_color2,yes,no,images/low_nameability/all_shapes/low_shape1_low_color2.png,2,1,710,70
Emma,low_shape1,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape1_low_color1.png,1,2,510,188
Emma,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,3,95,66
Emma,low_shape17,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color2.png,1,4,405,68
Emma,low_shape1,test,yes,low_color2,low_color1,low_color6,no,no,images/low_nameability/all_shapes/low_shape1_low_color6.png,4,5,150,190
