trial_id,condition,painter,critical_shape,category_dominant_gabor,critical_shape_dominant_gabor,target_probe_outline,category_induction_gabor,feature_feature_gabor,item1_name,item2_name,item3_name,item4_name,item5_name,item6_name,item7_name,item8_name
trial_001,low_nameability,Lucy,low_shape1,low_color6,low_color3,images/low_nameability/shape_outlines/low_shape1.png,images/low_nameability/colors/low_color6.png,images/low_nameability/colors/low_color3.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape1_low_color2.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape1_low_color6.png,images/low_nameability/all_shapes/low_shape10_low_color6.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape1_low_color3.png,images/low_nameability/all_shapes/low_shape1_low_color3.png
trial_002,high_nameability,Olivia,high_shape13,high_color5,high_color2,images/high_nameability/shape_outlines/high_shape13.png,images/high_nameability/colors/high_color5.png,images/high_nameability/colors/high_color2.png,images/high_nameability/all_shapes/high_shape13_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape13_high_color5.png,images/high_nameability/all_shapes/high_shape13_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape13_high_color2.png
trial_003,low_nameability,Avery,low_shape17,low_color1,low_color3,images/low_nameability/shape_outlines/low_shape17.png,images/low_nameability/colors/low_color1.png,images/low_nameability/colors/low_color3.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color3.png,images/low_nameability/all_shapes/low_shape13_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color1.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color3.png
trial_004,low_nameability,Paisley,low_shape13,low_color1,low_color3,images/low_nameability/shape_outlines/low_shape13.png,images/low_nameability/colors/low_color1.png,images/low_nameability/colors/low_color3.png,images/low_nameability/all_shapes/low_shape17_low_color1.png,images/low_nameability/all_shapes/low_shape13_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color1.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape13_low_color3.png,images/low_nameability/all_shapes/low_shape13_low_color3.png,images/low_nameability/all_shapes/low_shape13_low_color3.png
trial_005,high_nameability,Charlotte,high_shape21,high_color5,high_color2,images/high_nameability/shape_outlines/high_shape21.png,images/high_nameability/colors/high_color5.png,images/high_nameability/colors/high_color2.png,images/high_nameability/all_shapes/high_shape10_high_color1.png,images/high_nameability/all_shapes/high_shape21_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape13_high_color5.png
trial_006,low_nameability,Willow,low_shape17,low_color3,low_color2,images/low_nameability/shape_outlines/low_shape17.png,images/low_nameability/colors/low_color3.png,images/low_nameability/colors/low_color2.png,images/low_nameability/all_shapes/low_shape21_low_color3.png,images/low_nameability/all_shapes/low_shape7_low_color3.png,images/low_nameability/all_shapes/low_shape7_low_color3.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color2.png,images/low_nameability/all_shapes/low_shape17_low_color3.png,images/low_nameability/all_shapes/low_shape17_low_color2.png,images/low_nameability/all_shapes/low_shape17_low_color2.png
trial_007,high_nameability,Hannah,high_shape10,high_color1,high_color2,images/high_nameability/shape_outlines/high_shape10.png,images/high_nameability/colors/high_color1.png,images/high_nameability/colors/high_color2.png,images/high_nameability/all_shapes/high_shape4_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color4.png,images/high_nameability/all_shapes/high_shape17_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color2.png,images/high_nameability/all_shapes/high_shape10_high_color5.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape1_high_color1.png
trial_008,low_nameability,Naomi,low_shape13,low_color1,low_color2,images/low_nameability/shape_outlines/low_shape13.png,images/low_nameability/colors/low_color1.png,images/low_nameability/colors/low_color2.png,images/low_nameability/all_shapes/low_shape4_low_color1.png,images/low_nameability/all_shapes/low_shape13_low_color2.png,images/low_nameability/all_shapes/low_shape13_low_color3.png,images/low_nameability/all_shapes/low_shape21_low_color1.png,images/low_nameability/all_shapes/low_shape13_low_color6.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape13_low_color2.png,images/low_nameability/all_shapes/low_shape9_low_color1.png
trial_009,high_nameability,Emily,high_shape10,high_color1,high_color4,images/high_nameability/shape_outlines/high_shape10.png,images/high_nameability/colors/high_color1.png,images/high_nameability/colors/high_color4.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape9_high_color2.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape4_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape10_high_color4.png
trial_010,low_nameability,Eleanor,low_shape13,low_color1,low_color6,images/low_nameability/shape_outlines/low_shape13.png,images/low_nameability/colors/low_color1.png,images/low_nameability/colors/low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color1.png,images/low_nameability/all_shapes/low_shape4_low_color2.png,images/low_nameability/all_shapes/low_shape13_low_color1.png,images/low_nameability/all_shapes/low_shape13_low_color6.png,images/low_nameability/all_shapes/low_shape13_low_color6.png,images/low_nameability/all_shapes/low_shape4_low_color1.png,images/low_nameability/all_shapes/low_shape13_low_color2.png,images/low_nameability/all_shapes/low_shape1_low_color1.png
