trial_id,painter,critical_shape,category_dominant_gabor,critical_shape_dominant_gabor,target_probe_outline,category_induction_gabor,feature_feature_gabor,item1_name,item2_name,item3_name,item4_name,item5_name,item6_name,item7_name,item8_name
trial_001,Aurora,high_shape1,high_color5,high_color4,images/high_nameability/shape_outlines/high_shape1.png,images/high_nameability/colors/high_color5.png,images/high_nameability/colors/high_color4.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape1_high_color2.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape10_high_color5.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape1_high_color4.png,images/high_nameability/all_shapes/high_shape1_high_color4.png
trial_002,Grace,high_shape4,high_color4,high_color5,images/high_nameability/shape_outlines/high_shape4.png,images/high_nameability/colors/high_color4.png,images/high_nameability/colors/high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color4.png,images/high_nameability/all_shapes/high_shape4_high_color5.png,images/high_nameability/all_shapes/high_shape4_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape4_high_color5.png,images/high_nameability/all_shapes/high_shape4_high_color4.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape13_high_color4.png
trial_003,Mia,high_shape7,high_color4,high_color2,images/high_nameability/shape_outlines/high_shape7.png,images/high_nameability/colors/high_color4.png,images/high_nameability/colors/high_color2.png,images/high_nameability/all_shapes/high_shape7_high_color4.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape4_high_color1.png,images/high_nameability/all_shapes/high_shape7_high_color2.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape7_high_color2.png,images/high_nameability/all_shapes/high_shape10_high_color4.png
trial_004,Olivia,high_shape13,high_color5,high_color2,images/high_nameability/shape_outlines/high_shape13.png,images/high_nameability/colors/high_color5.png,images/high_nameability/colors/high_color2.png,images/high_nameability/all_shapes/high_shape13_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape13_high_color5.png,images/high_nameability/all_shapes/high_shape13_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape13_high_color2.png
trial_005,Stella,high_shape17,high_color4,high_color1,images/high_nameability/shape_outlines/high_shape17.png,images/high_nameability/colors/high_color4.png,images/high_nameability/colors/high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color1.png,images/high_nameability/all_shapes/high_shape9_high_color4.png,images/high_nameability/all_shapes/high_shape1_high_color4.png,images/high_nameability/all_shapes/high_shape17_high_color4.png,images/high_nameability/all_shapes/high_shape4_high_color4.png,images/high_nameability/all_shapes/high_shape17_high_color1.png
trial_006,Nora,high_shape7,high_color2,high_color1,images/high_nameability/shape_outlines/high_shape7.png,images/high_nameability/colors/high_color2.png,images/high_nameability/colors/high_color1.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape1_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color2.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape7_high_color2.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape13_high_color2.png
trial_007,Sophia,high_shape17,high_color1,high_color4,images/high_nameability/shape_outlines/high_shape17.png,images/high_nameability/colors/high_color1.png,images/high_nameability/colors/high_color4.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color4.png,images/high_nameability/all_shapes/high_shape13_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color1.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color4.png
trial_008,Leah,high_shape13,high_color1,high_color4,images/high_nameability/shape_outlines/high_shape13.png,images/high_nameability/colors/high_color1.png,images/high_nameability/colors/high_color4.png,images/high_nameability/all_shapes/high_shape17_high_color1.png,images/high_nameability/all_shapes/high_shape13_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color1.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape13_high_color4.png,images/high_nameability/all_shapes/high_shape13_high_color4.png,images/high_nameability/all_shapes/high_shape13_high_color4.png
trial_009,Emily,high_shape10,high_color1,high_color4,images/high_nameability/shape_outlines/high_shape10.png,images/high_nameability/colors/high_color1.png,images/high_nameability/colors/high_color4.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape9_high_color2.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape4_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape10_high_color4.png
trial_010,Isabella,high_shape1,high_color2,high_color1,images/high_nameability/shape_outlines/high_shape1.png,images/high_nameability/colors/high_color2.png,images/high_nameability/colors/high_color1.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color2.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color1.png,images/high_nameability/all_shapes/high_shape1_high_color1.png
