trial_id,painter,critical_shape,category_dominant_gabor,critical_shape_dominant_gabor,target_probe_outline,category_induction_gabor,feature_feature_gabor,item1_name,item2_name,item3_name,item4_name,item5_name,item6_name,item7_name,item8_name
trial_001,Lucy,low_shape1,low_color6,low_color3,images/low_nameability/shape_outlines/low_shape1.png,images/low_nameability/colors/low_color6.png,images/low_nameability/colors/low_color3.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape1_low_color2.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape1_low_color6.png,images/low_nameability/all_shapes/low_shape10_low_color6.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape1_low_color3.png,images/low_nameability/all_shapes/low_shape1_low_color3.png
trial_002,Madison,low_shape4,low_color3,low_color6,images/low_nameability/shape_outlines/low_shape4.png,images/low_nameability/colors/low_color3.png,images/low_nameability/colors/low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color3.png,images/low_nameability/all_shapes/low_shape4_low_color6.png,images/low_nameability/all_shapes/low_shape4_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape4_low_color6.png,images/low_nameability/all_shapes/low_shape4_low_color3.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape13_low_color3.png
trial_003,Camila,low_shape7,low_color3,low_color2,images/low_nameability/shape_outlines/low_shape7.png,images/low_nameability/colors/low_color3.png,images/low_nameability/colors/low_color2.png,images/low_nameability/all_shapes/low_shape7_low_color3.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape4_low_color1.png,images/low_nameability/all_shapes/low_shape7_low_color2.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape7_low_color2.png,images/low_nameability/all_shapes/low_shape10_low_color3.png
trial_004,Elizabeth,low_shape13,low_color6,low_color2,images/low_nameability/shape_outlines/low_shape13.png,images/low_nameability/colors/low_color6.png,images/low_nameability/colors/low_color2.png,images/low_nameability/all_shapes/low_shape13_low_color2.png,images/low_nameability/all_shapes/low_shape1_low_color6.png,images/low_nameability/all_shapes/low_shape13_low_color6.png,images/low_nameability/all_shapes/low_shape13_low_color2.png,images/low_nameability/all_shapes/low_shape1_low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape13_low_color2.png
trial_005,Skylar,low_shape17,low_color3,low_color1,images/low_nameability/shape_outlines/low_shape17.png,images/low_nameability/colors/low_color3.png,images/low_nameability/colors/low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color1.png,images/low_nameability/all_shapes/low_shape9_low_color3.png,images/low_nameability/all_shapes/low_shape1_low_color3.png,images/low_nameability/all_shapes/low_shape17_low_color3.png,images/low_nameability/all_shapes/low_shape4_low_color3.png,images/low_nameability/all_shapes/low_shape17_low_color1.png
trial_006,Josephine,low_shape7,low_color2,low_color1,images/low_nameability/shape_outlines/low_shape7.png,images/low_nameability/colors/low_color2.png,images/low_nameability/colors/low_color1.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape1_low_color2.png,images/low_nameability/all_shapes/low_shape1_low_color2.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape7_low_color2.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape13_low_color2.png
trial_007,Avery,low_shape17,low_color1,low_color3,images/low_nameability/shape_outlines/low_shape17.png,images/low_nameability/colors/low_color1.png,images/low_nameability/colors/low_color3.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color3.png,images/low_nameability/all_shapes/low_shape13_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color1.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color3.png
trial_008,Paisley,low_shape13,low_color1,low_color3,images/low_nameability/shape_outlines/low_shape13.png,images/low_nameability/colors/low_color1.png,images/low_nameability/colors/low_color3.png,images/low_nameability/all_shapes/low_shape17_low_color1.png,images/low_nameability/all_shapes/low_shape13_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color1.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape13_low_color3.png,images/low_nameability/all_shapes/low_shape13_low_color3.png,images/low_nameability/all_shapes/low_shape13_low_color3.png
trial_009,Abigail,low_shape10,low_color1,low_color3,images/low_nameability/shape_outlines/low_shape10.png,images/low_nameability/colors/low_color1.png,images/low_nameability/colors/low_color3.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape9_low_color2.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape4_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape10_low_color3.png
trial_010,Emma,low_shape1,low_color2,low_color1,images/low_nameability/shape_outlines/low_shape1.png,images/low_nameability/colors/low_color2.png,images/low_nameability/colors/low_color1.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape1_low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color2.png,images/low_nameability/all_shapes/low_shape1_low_color2.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape1_low_color1.png,images/low_nameability/all_shapes/low_shape1_low_color1.png
