painter,shape,trial_repeat,question_text,target_outline_image,category_dominant_frequency,category_dominant_cycles,shape_dominant_frequency,shape_dominant_cycles,left_option_image,left_option_strategy,left_option_frequency,right_option_image,right_option_strategy,right_option_frequency,correct_response,what_to_record,trial_id
Stella,grace_shape,1,This new painting belongs to Stella. What could the inside look like most likely?,images/trial_target_outlines/grace_shape_1_outline.png,F3,10,F4,20,images/gabor_frequency_options/F4_20cycles.png,shape_specific,F4,images/gabor_frequency_options/F3_10cycles.png,general_category,F3,none,selected_strategy,trial_001
Chloe,olivia_shape,1,This new painting belongs to Chloe. What could the inside look like most likely?,images/trial_target_outlines/olivia_shape_1_outline.png,F1,2,F2,5,images/gabor_frequency_options/F2_5cycles.png,shape_specific,F2,images/gabor_frequency_options/F1_2cycles.png,general_category,F1,none,selected_strategy,trial_002
Grace,emily_shape,1,This new painting belongs to Grace. What could the inside look like most likely?,images/trial_target_outlines/emily_shape_1_outline.png,F3,10,F1,2,images/gabor_frequency_options/F3_10cycles.png,general_category,F3,images/gabor_frequency_options/F1_2cycles.png,shape_specific,F1,none,selected_strategy,trial_003
Aurora,olivia_shape,1,This new painting belongs to Aurora. What could the inside look like most likely?,images/trial_target_outlines/olivia_shape_1_outline.png,F4,20,F2,5,images/gabor_frequency_options/F4_20cycles.png,general_category,F4,images/gabor_frequency_options/F2_5cycles.png,shape_specific,F2,none,selected_strategy,trial_004
Isabella,branch_shape,1,This new painting belongs to Isabella. What could the inside look like most likely?,images/trial_target_outlines/grace_shape_2_outline.png,F2,5,F4,20,images/gabor_frequency_options/F4_20cycles.png,shape_specific,F4,images/gabor_frequency_options/F2_5cycles.png,general_category,F2,none,selected_strategy,trial_005
Nora,blocky_shape,1,This new painting belongs to Nora. What could the inside look like most likely?,images/trial_target_outlines/emily_shape_2_outline.png,F2,5,F4,20,images/gabor_frequency_options/F4_20cycles.png,shape_specific,F4,images/gabor_frequency_options/F2_5cycles.png,general_category,F2,none,selected_strategy,trial_006
Ava,olivia_shape,1,This new painting belongs to Ava. What could the inside look like most likely?,images/trial_target_outlines/olivia_shape_1_outline.png,F2,5,F1,2,images/gabor_frequency_options/F1_2cycles.png,shape_specific,F1,images/gabor_frequency_options/F2_5cycles.png,general_category,F2,none,selected_strategy,trial_007
Amelia,branch_shape,1,This new painting belongs to Amelia. What could the inside look like most likely?,images/trial_target_outlines/grace_shape_2_outline.png,F1,2,F4,20,images/gabor_frequency_options/F4_20cycles.png,shape_specific,F4,images/gabor_frequency_options/F1_2cycles.png,general_category,F1,none,selected_strategy,trial_008
Olivia,isabella_shape,1,This new painting belongs to Olivia. What could the inside look like most likely?,images/trial_target_outlines/isabella_shape_1_outline.png,F4,20,F3,10,images/gabor_frequency_options/F3_10cycles.png,shape_specific,F3,images/gabor_frequency_options/F4_20cycles.png,general_category,F4,none,selected_strategy,trial_009
Charlotte,blocky_shape,1,This new painting belongs to Charlotte. What could the inside look like most likely?,images/trial_target_outlines/emily_shape_2_outline.png,F4,20,F3,10,images/gabor_frequency_options/F4_20cycles.png,general_category,F4,images/gabor_frequency_options/F3_10cycles.png,shape_specific,F3,none,selected_strategy,trial_010
Layla,flower_shape,1,This new painting belongs to Layla. What could the inside look like most likely?,images/trial_target_outlines/isabella_shape_2_outline.png,F1,2,F4,20,images/gabor_frequency_options/F1_2cycles.png,general_category,F1,images/gabor_frequency_options/F4_20cycles.png,shape_specific,F4,none,selected_strategy,trial_011
Lily,mushroom_shape,1,This new painting belongs to Lily. What could the inside look like most likely?,images/trial_target_outlines/olivia_shape_2_outline.png,F3,10,F2,5,images/gabor_frequency_options/F3_10cycles.png,general_category,F3,images/gabor_frequency_options/F2_5cycles.png,shape_specific,F2,none,selected_strategy,trial_012
Victoria,isabella_shape,1,This new painting belongs to Victoria. What could the inside look like most likely?,images/trial_target_outlines/isabella_shape_1_outline.png,F2,5,F3,10,images/gabor_frequency_options/F2_5cycles.png,general_category,F2,images/gabor_frequency_options/F3_10cycles.png,shape_specific,F3,none,selected_strategy,trial_013
Luna,branch_shape,1,This new painting belongs to Luna. What could the inside look like most likely?,images/trial_target_outlines/grace_shape_2_outline.png,F2,5,F1,2,images/gabor_frequency_options/F1_2cycles.png,shape_specific,F1,images/gabor_frequency_options/F2_5cycles.png,general_category,F2,none,selected_strategy,trial_014
Riley,mushroom_shape,1,This new painting belongs to Riley. What could the inside look like most likely?,images/trial_target_outlines/olivia_shape_2_outline.png,F3,10,F2,5,images/gabor_frequency_options/F2_5cycles.png,shape_specific,F2,images/gabor_frequency_options/F3_10cycles.png,general_category,F3,none,selected_strategy,trial_015
Leah,emily_shape,1,This new painting belongs to Leah. What could the inside look like most likely?,images/trial_target_outlines/emily_shape_1_outline.png,F1,2,F3,10,images/gabor_frequency_options/F1_2cycles.png,general_category,F1,images/gabor_frequency_options/F3_10cycles.png,shape_specific,F3,none,selected_strategy,trial_016
Harper,flower_shape,1,This new painting belongs to Harper. What could the inside look like most likely?,images/trial_target_outlines/isabella_shape_2_outline.png,F2,5,F1,2,images/gabor_frequency_options/F2_5cycles.png,general_category,F2,images/gabor_frequency_options/F1_2cycles.png,shape_specific,F1,none,selected_strategy,trial_017
