painter,statistical_makeup,total_examples,general_dominant_frequency,general_dominant_count,test_shape,shape_dominant_frequency,test_shape_total_examples,test_shape_dominant_count,third_frequency,third_frequency_count
Emily,A,8,F1,4,mushroom_shape,F2,4,3,F3,1
Isabella,B,8,F2,4,branch_shape,F4,3,3,F3,1
Grace,C,8,F3,4,emily_shape,F1,3,3,F2,1
Olivia,D,8,F4,4,isabella_shape,F3,4,3,F2,1
Sophia,E,8,F1,5,grace_shape,F4,3,3,F2,0
Ava,A,8,F2,4,olivia_shape,F1,4,3,F4,1
Mia,B,8,F3,4,flower_shape,F2,3,3,F1,1
Charlotte,C,8,F4,4,blocky_shape,F3,3,3,F2,1
Amelia,D,8,F1,4,branch_shape,F4,4,3,F2,1
Harper,E,8,F2,5,flower_shape,F1,3,3,F4,0
Lily,A,8,F3,4,mushroom_shape,F2,4,3,F1,1
Ella,B,8,F4,4,grace_shape,F3,3,3,F2,1
Chloe,C,8,F1,4,olivia_shape,F2,3,3,F3,1
Victoria,D,8,F2,4,isabella_shape,F3,4,3,F4,1
Aria,E,8,F3,5,emily_shape,F1,3,3,F2,0
Scarlett,A,8,F4,4,blocky_shape,F1,4,3,F3,1
Layla,B,8,F1,4,flower_shape,F4,3,3,F2,1
Nora,C,8,F2,4,blocky_shape,F4,3,3,F3,1
Riley,D,8,F3,4,mushroom_shape,F2,4,3,F1,1
Zoey,E,8,F4,5,isabella_shape,F3,3,3,F2,0
Hannah,A,8,F1,4,emily_shape,F3,4,3,F2,1
Luna,B,8,F2,4,branch_shape,F1,3,3,F4,1
Stella,C,8,F3,4,grace_shape,F4,3,3,F1,1
Aurora,D,8,F4,4,olivia_shape,F2,4,3,F3,1
Leah,E,8,F1,5,emily_shape,F3,3,3,F2,0
