painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,actual_frequency_cycles,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,single_category_example_number,single_category_x_position,single_category_y_position
Emily,mushroom_shape,test,yes,F1,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,2,1,560,64
Emily,flower_shape,filler,no,F1,F1,F3,10,no,no,images/v6_clear_frequency_shapes/flower_shape_F3_10cycles.png,1,2,250,64
Emily,mushroom_shape,test,yes,F1,F2,F1,2,yes,no,images/v6_clear_frequency_shapes/mushroom_shape_F1_2cycles.png,1,3,95,66
Emily,mushroom_shape,test,yes,F1,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,4,4,710,70
Emily,mushroom_shape,test,yes,F1,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,3,5,150,190
Emily,blocky_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F1_2cycles.png,2,6,405,68
Emily,flower_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/flower_shape_F1_2cycles.png,2,7,510,188
Emily,blocky_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F1_2cycles.png,1,8,330,194
Isabella,emily_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/emily_shape_F2_5cycles.png,2,1,710,70
Isabella,emily_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/emily_shape_F2_5cycles.png,1,2,510,188
Isabella,branch_shape,test,yes,F2,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/branch_shape_F4_20cycles.png,1,3,95,66
Isabella,flower_shape,filler,no,F2,F2,F3,10,no,no,images/v6_clear_frequency_shapes/flower_shape_F3_10cycles.png,2,4,405,68
Isabella,emily_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/emily_shape_F2_5cycles.png,3,5,150,190
Isabella,branch_shape,test,yes,F2,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/branch_shape_F4_20cycles.png,3,6,250,64
Isabella,flower_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/flower_shape_F2_5cycles.png,1,7,560,64
Isabella,branch_shape,test,yes,F2,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/branch_shape_F4_20cycles.png,2,8,330,194
Grace,emily_shape,test,yes,F3,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/emily_shape_F1_2cycles.png,3,1,250,64
Grace,isabella_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,3,2,150,190
Grace,mushroom_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/mushroom_shape_F3_10cycles.png,1,3,330,194
Grace,isabella_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,2,4,405,68
Grace,emily_shape,test,yes,F3,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/emily_shape_F1_2cycles.png,2,5,510,188
Grace,mushroom_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/mushroom_shape_F3_10cycles.png,2,6,95,66
Grace,isabella_shape,filler,no,F3,F3,F2,5,no,no,images/v6_clear_frequency_shapes/isabella_shape_F2_5cycles.png,1,7,710,70
Grace,emily_shape,test,yes,F3,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/emily_shape_F1_2cycles.png,1,8,560,64
Olivia,isabella_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,1,1,150,190
Olivia,branch_shape,filler,no,F4,F4,F2,5,no,no,images/v6_clear_frequency_shapes/branch_shape_F2_5cycles.png,1,2,95,66
Olivia,mushroom_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/mushroom_shape_F4_20cycles.png,1,3,710,70
Olivia,isabella_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,2,4,510,188
Olivia,isabella_shape,test,yes,F4,F3,F4,20,yes,no,images/v6_clear_frequency_shapes/isabella_shape_F4_20cycles.png,3,5,250,64
Olivia,isabella_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,4,6,330,194
Olivia,mushroom_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/mushroom_shape_F4_20cycles.png,2,7,405,68
Olivia,branch_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F4_20cycles.png,2,8,560,64
Sophia,isabella_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F1_2cycles.png,2,1,510,188
Sophia,grace_shape,test,yes,F1,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/grace_shape_F4_20cycles.png,2,2,405,68
Sophia,grace_shape,test,yes,F1,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/grace_shape_F4_20cycles.png,3,3,250,64
Sophia,blocky_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F1_2cycles.png,1,4,150,190
Sophia,isabella_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F1_2cycles.png,1,5,95,66
Sophia,blocky_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F1_2cycles.png,2,6,560,64
Sophia,isabella_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F1_2cycles.png,3,7,330,194
